incident_id,camera_id,timestamp,track_id,status,threat_score,threat_level,person_name,face_recognized,face_confidence,rule7_identity_status,smart_alert_confirmed,zone_name,explainable_reason,evidence_count,evidence_id,evidence_path,phash,std_global,has_red_bbox,has_skin,skin_ratio,image_classification_hint,final_classification,notes
INC-HUMA-68E22D72,BORDER-CAM-07,2026-09-01 16:57:13.210501,TRK#1,active,85,critical,Asif,1,0.5816,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed 5/5 validation checks. Con,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-14AE4497,BORDER-CAM-07,2026-09-01 16:57:13.232595,TRK#2,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#2 (person) passed 5/5 validation checks. Con,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-E9E5666E,BORDER-CAM-07,2026-09-01 16:57:16.298027,TRK#9,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#9 (person) passed 5/5 validation checks. Con,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-1253602B,BORDER-CAM-07,2026-09-01 16:59:37.163462,TRK#1,active,85,critical,Asif,1,0.5749,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed 5/5 validation checks. Con,1,217594cd-a8d6-4666-96bf-84363e64ec34,E:\IBVAP\backend\storage\evidence\webcam_evidence_0f217afc.jpg,7f7f47070767031b,91.89,False,True,0.0452,GENUINE,GENUINE,
INC-HUMA-1F8B3F5F,BORDER-CAM-07,2026-09-01 17:10:45.312351,TRK#1,active,85,critical,Asif,1,0.532,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed 5/5 validation checks. Con,1,1ec049c4-ca1c-49f2-be2d-44e9a53f3273,E:\IBVAP\backend\storage\evidence\webcam_evidence_eade6610.jpg,bfcfd74fcf370303,86.92,False,True,0.0511,GENUINE,GENUINE,
INC-HUMA-447D6CEE,BORDER-CAM-07,2026-09-01 17:10:51.105891,TRK#49,active,77,high,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#49 (person) passed 5/5 validation checks. Co,1,8bb18ef8-626c-4a70-a3a0-454c91f2f5fc,E:\IBVAP\backend\storage\evidence\webcam_evidence_2a80c081.jpg,f35d090302a274d4,74.19,False,True,0.0723,GENUINE,GENUINE,
INC-HUMA-3C6F6EE1,BORDER-CAM-07,2026-09-01 17:10:55.170746,TRK#61,active,81,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#61 (person) passed 5/5 validation checks. Co,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-7DE3F681,BORDER-CAM-07,2026-09-02 07:34:55.110976,TRK#1,active,85,critical,Asif,1,0.6587,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed 5/5 validation checks. Con,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-677FE6FE,BORDER-CAM-07,2026-09-02 07:34:55.131727,TRK#2,active,81,critical,Asif,1,0.6587,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#2 (person) passed 5/5 validation checks. Con,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-28B2A964,SOUTH-TRENCH-10,2026-09-02 07:45:20.149565,TRK#7,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#7 (person) passed 5/5 validation checks. Con,1,1421f437-4acf-4cdf-a87e-edccf1472d11,E:\IBVAP\backend\storage\evidence\webcam_evidence_6d563df4.jpg,fc7f3ff3f7b61020,73.74,False,True,0.0591,GENUINE,GENUINE,
INC-HUMA-182222B0,BORDER-CAM-07,2026-09-02 08:02:33.739127,TRK#3,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#3 (person) passed 5/5 validation checks. Con,1,996c970d-b50b-4aa2-b403-744305e21f53,E:\IBVAP\backend\storage\evidence\webcam_evidence_9b015d6a.jpg,fc6f77353f372302,78.46,True,True,0.0546,GENUINE,GENUINE,
INC-HUMA-F31779E6,BORDER-CAM-07,2026-09-02 08:05:21.007169,TRK#2,active,78,high,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#2 (person) passed 5/5 validation checks. Con,1,5d4ebc6a-9149-4bdc-a225-8d9620f667a0,E:\IBVAP\backend\storage\evidence\webcam_evidence_9ee5cced.jpg,30f0e0fcf4b08000,83.69,True,True,0.0638,GENUINE,GENUINE,
INC-HUMA-15DFA602,BORDER-CAM-07,2026-09-02 08:31:34.881045,TRK#128,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#128 (person) passed 5/5 validation checks. C,1,82b39eff-4c9a-4cc3-98ee-2741f3bf16fb,E:\IBVAP\backend\storage\evidence\webcam_evidence_6bdc9b8e.jpg,3cf6e6f676764241,83.8,True,True,0.1029,GENUINE,GENUINE,
INC-HUMA-A58664FE,BORDER-CAM-07,2026-09-02 08:31:35.222348,TRK#131,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#131 (person) passed 5/5 validation checks. C,0,,,,,,,,NO_EVIDENCE,NO_EVIDENCE,
INC-HUMA-B69B423B,BORDER-CAM-07,2026-09-02 08:31:36.932328,TRK#1,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#1 (person) passed 5/5 validation checks. Con,1,389cd384-8501-4a67-9d31-e02e90d11719,E:\IBVAP\backend\storage\evidence\webcam_evidence_72f201b8.jpg,fcdf7e0676744603,81.66,True,True,0.085,GENUINE,GENUINE,
INC-HUMA-67A03AB6,BORDER-CAM-07,2026-09-02 08:31:41.315167,TRK#132,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#132 (person) passed 5/5 validation checks. C,1,5652829e-2efb-414b-b62c-dec4a417fac1,E:\IBVAP\backend\storage\evidence\webcam_evidence_fb10c696.jpg,f7fffbf1c1505000,82.11,True,True,0.0633,GENUINE,GENUINE,
INC-HUMA-E698F966,BORDER-CAM-07,2026-09-02 08:31:45.658071,TRK#137,active,85,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#137 (person) passed 5/5 validation checks. C,1,fe47f1a1-2fa7-4629-b4f1-9a8450ae1aac,E:\IBVAP\backend\storage\evidence\webcam_evidence_71ac7c0c.jpg,9fff770737170300,77.43,True,True,0.0745,GENUINE,GENUINE,
INC-HUMA-B6CF3BB0,BORDER-CAM-07,2026-09-02 08:31:46.581864,TRK#141,active,84,critical,UNKNOWN,0,0.0,,1,Webcam Global Zone,SmartAlert CONFIRMED: ByteTrack TRK#141 (person) passed 5/5 validation checks. C,1,eb1149fc-e50f-4d20-b77a-4511f6c43cec,E:\IBVAP\backend\storage\evidence\webcam_evidence_9c4a9776.jpg,7fdf370707260640,76.63,True,True,0.0684,GENUINE,GENUINE,
